[building  the model]
.....................layer0 is built,(conv+pool)
.....................layer1 is built,(conv+pool)
.....................layer2,layer3 are built,(MLP+LR)
[compiling the model]
############################
# Compliled,start training #
############################

epoch 223 ,iteration 22299,training cost 0.381212 %,train error 0.000000 %,validation error 0.970000 %
epoch 224 ,iteration 22399,training cost 0.239399 %,train error 0.000000 %,validation error 1.030000 %
epoch 225 ,iteration 22499,training cost 0.411032 %,train error 0.000000 %,validation error 1.080000 %
epoch 226 ,iteration 22599,training cost 0.262466 %,train error 0.000000 %,validation error 1.140000 %
epoch 227 ,iteration 22699,training cost 0.348146 %,train error 0.000000 %,validation error 1.010000 %
epoch 228 ,iteration 22799,training cost 0.358250 %,train error 0.000000 %,validation error 1.010000 %
epoch 229 ,iteration 22899,training cost 0.408897 %,train error 0.000000 %,validation error 1.070000 %
epoch 230 ,iteration 22999,training cost 0.205782 %,train error 0.000000 %,validation error 1.030000 %
epoch 231 ,iteration 23099,training cost 0.157483 %,train error 0.000000 %,validation error 1.070000 %
epoch 232 ,iteration 23199,training cost 0.289999 %,train error 0.000000 %,validation error 1.040000 %
epoch 233 ,iteration 23299,training cost 0.302237 %,train error 0.000000 %,validation error 1.070000 %
epoch 234 ,iteration 23399,training cost 0.273244 %,train error 0.000000 %,validation error 0.980000 %
epoch 235 ,iteration 23499,training cost 0.382181 %,train error 0.200000 %,validation error 1.010000 %
epoch 236 ,iteration 23599,training cost 0.321488 %,train error 0.000000 %,validation error 1.070000 %
epoch 237 ,iteration 23699,training cost 0.517553 %,train error 0.200000 %,validation error 0.980000 %
epoch 238 ,iteration 23799,training cost 0.261704 %,train error 0.000000 %,validation error 0.960000 %
epoch 239 ,iteration 23899,training cost 0.267712 %,train error 0.000000 %,validation error 1.020000 %
epoch 240 ,iteration 23999,training cost 0.511985 %,train error 0.200000 %,validation error 0.930000 %
epoch 241 ,iteration 24099,training cost 0.227101 %,train error 0.000000 %,validation error 1.050000 %
epoch 242 ,iteration 24199,training cost 0.314421 %,train error 0.000000 %,validation error 1.020000 %
epoch 243 ,iteration 24299,training cost 0.373452 %,train error 0.200000 %,validation error 1.010000 %
epoch 244 ,iteration 24399,training cost 0.317079 %,train error 0.000000 %,validation error 0.900000 %
epoch 245 ,iteration 24499,training cost 0.388665 %,train error 0.200000 %,validation error 1.050000 %
epoch 246 ,iteration 24599,training cost 0.863321 %,train error 0.400000 %,validation error 1.040000 %
epoch 247 ,iteration 24699,training cost 0.199150 %,train error 0.000000 %,validation error 1.020000 %
epoch 248 ,iteration 24799,training cost 0.229053 %,train error 0.000000 %,validation error 1.030000 %
epoch 249 ,iteration 24899,training cost 0.211810 %,train error 0.000000 %,validation error 0.930000 %
epoch 250 ,iteration 24999,training cost 0.204197 %,train error 0.000000 %,validation error 0.980000 %
epoch 251 ,iteration 25099,training cost 0.172331 %,train error 0.000000 %,validation error 0.950000 %
epoch 252 ,iteration 25199,training cost 0.319262 %,train error 0.000000 %,validation error 1.000000 %
epoch 253 ,iteration 25299,training cost 0.236759 %,train error 0.000000 %,validation error 1.090000 %
epoch 254 ,iteration 25399,training cost 0.210212 %,train error 0.000000 %,validation error 0.940000 %
epoch 255 ,iteration 25499,training cost 0.393960 %,train error 0.000000 %,validation error 1.090000 %
epoch 256 ,iteration 25599,training cost 0.190931 %,train error 0.000000 %,validation error 1.030000 %
epoch 257 ,iteration 25699,training cost 0.188070 %,train error 0.000000 %,validation error 1.020000 %
epoch 258 ,iteration 25799,training cost 0.172903 %,train error 0.000000 %,validation error 1.010000 %
epoch 259 ,iteration 25899,training cost 0.168535 %,train error 0.000000 %,validation error 1.050000 %
epoch 260 ,iteration 25999,training cost 0.260662 %,train error 0.000000 %,validation error 1.020000 %
epoch 261 ,iteration 26099,training cost 0.327286 %,train error 0.000000 %,validation error 1.010000 %
epoch 262 ,iteration 26199,training cost 0.147912 %,train error 0.000000 %,validation error 1.030000 %
epoch 263 ,iteration 26299,training cost 0.255715 %,train error 0.000000 %,validation error 1.060000 %
epoch 264 ,iteration 26399,training cost 0.265571 %,train error 0.000000 %,validation error 0.970000 %
epoch 265 ,iteration 26499,training cost 0.299246 %,train error 0.000000 %,validation error 1.020000 %
epoch 266 ,iteration 26599,training cost 0.128401 %,train error 0.000000 %,validation error 1.010000 %
